"","A1_A","A1_B","AF_A","AF_B"
"LOC100257987",521.112586419588,447.637556348561,433.58456542202,482.785801498792
"LOC100252843",665.698737564908,631.309468482612,766.802333292647,657.431808693781
"LOC100256202",3075.46792332023,1630.96643288433,1774.48498070864,1605.94029604588
"LOC100242594",996.0379301122,897.282455999134,875.198474648152,812.003562188196
"LOC100264876",331.343263041357,336.230003086924,258.946337682595,245.909607832025
"LOC100259691",296.200795749092,332.215316482901,235.861974245775,488.808077608964
"LOC100251046",934.789629974252,779.852872831462,329.203095968571,636.353842308179
"LOC100254579",9412.15681136266,6856.08104802023,6028.0298609367,6978.81429900436
"LOC100245904",1232.99856671147,2623.59769572901,2301.41066785345,3011.13805508602
"LOC100261442",131.533234722478,237.870181288361,159.583208106716,150.556902754301
"LOC100240811",2430.85466613068,1127.12326407945,828.026079798997,1174.34384148355
"LOC109122588",189.769323378232,189.693942040085,91.3337857717681,147.545764699215
"LOC100233116",716.906332762208,535.960661637067,301.100392654181,505.871193254451
"LOC100257939",1203.8805223836,1895.93574874985,2084.61838514244,1861.88703072819
"LOC100252788",10.0407049406472,8.02937320804594,10.0366797551394,16.0594029604588
"LOC100257872",12.0488459287766,11.0403881610632,4.01467190205574,19.0705410155448
"LOC100247679",308.249641677868,422.545765073418,365.335143087073,431.596454562329
"LOC104879256",101.411119900536,49.1799108992814,37.1357150940156,59.2190484166917
"LOC100242545",562.279476676242,655.39758810675,453.657924932299,678.509775079383
"LOC100264771",423.717748495311,252.925256053447,304.111396580722,314.162070413975
"LOC104879275",5.02035247032359,36.1321794362067,29.1063712899041,31.1150932358889
"LOC104879257",157.639067568161,177.649882228016,197.722591176245,212.787089226079
"LOC100249363",187.761182390102,258.947285959482,217.795950686524,285.054402548143
"LOC100244199",396.607845155563,347.270391247987,356.302131307447,419.551902341985
"LOC100266544",96.3907674302129,154.565434254884,106.388805404477,115.426958778297
"LOC100264835",2045.29159640983,1143.18201049554,1802.58768402303,1254.64085628584
"LOC100259653",1752.10301214293,1012.70469586479,1141.17048815934,1296.79678905705
"LOC100261336",827.354087109327,1353.95305720675,1169.27319147374,2059.61842967884
"LOC100254535",6898.96836471867,8950.74378366921,6059.14356817763,6507.06933704089
"LOC100249434",5369.76900225811,2857.45319041335,2409.80680920896,2577.53417515363
"LOC100251086",85.345991995501,74.2717021744249,67.2457543594337,74.2747386921218
"LOC100266608",2829.47065227437,2695.86205460142,2457.98287203363,2366.75451129761
"LOC100244269",26.1058328456827,5.01835825502871,21.0770274857927,10.0371268502867
"LOC100245945",12.0488459287766,12.0440598120689,50.1833987756968,39.1447947161182
"LOC109122696",104.423331382731,113.414896563649,59.2164105553222,80.2970148022938
"LOC100244856",410.664832072469,431.578809932469,344.25811560128,542.004849915483
"LOC100261405",4638.80568257899,4175.27406818389,3616.21571577671,3931.54258725731
"LOC100263116",356.445025392975,322.178599972843,376.375490817726,409.514775491699
"LOC100256307",2593.51408616916,2585.45817299079,2444.93518835195,2792.32868974977
"LOC100252835",1877.61182390102,1165.26278681767,1164.25485159617,1198.43294592424
"LOC104879259",1918.77871415767,2126.78022848117,1193.36122288607,1653.11479224222
"LOC100242586",1438.83301799474,1515.54419301867,1170.27685944925,1551.73981105433
"LOC104879260",3410.82746833784,1777.50249393117,2534.26163817269,1930.13949331014
"LOC100232920",14251.7765927546,8764.06085658214,11032.3183868492,8393.04547220976
"LOC100264870",253.025764504309,212.778390013217,534.955030948928,162.601454974645
