ID,F1_A,F1_B,AF1_A,AF1_B
LOC100262326,734.1389603,596.2751248,405.9584125,348.0119936
LOC100257220,56.72891966,77.90529269,102.8744515,112.5485596
LOC100252171,20.02197164,23.97085929,21.36623224,17.03037415
LOC100247044,143.4907968,56.93079081,60.14198704,89.59457707
LOC100852938,38.37544565,20.97450188,128.1973934,120.6935212
LOC100253880,0.0,0.0,10.28744515,21.47308045
LOC100252099,3023.317718,2730.680387,3169.324448,4161.334902
LOC100246961,5262.441547,4038.091004,10042.12915,11272.62679
LOC100241830,13.3479811,11.98542964,49.85454189,68.86194766
LOC100264112,832.5803209,735.1063515,351.355819,348.0119936
LOC100248556,1166.279848,1411.284341,1041.405986,879.6558476
LOC100258943,24733.80897,20535.03612,15256.28116,17430.21772
LOC100253796,2699.629177,2881.497044,3995.485428,3312.777998
LOC100262296,6924.265194,6576.005732,2329.710656,2081.407902
LOC100248696,570.6261919,630.2338421,412.289148,433.1638643
LOC100257191,1167.948346,1189.553892,959.8977668,760.4432285
LOC100252066,538.9247368,550.3309778,1105.504683,1677.86208
METK5,3116.753586,2860.522542,6427.279193,9285.256169
LOC100241804,10.01098582,4.993929019,9.496103216,21.47308045
LOC100258912,7925.363776,8474.697544,6370.302574,5836.235177
LOC100265884,1359.825574,1265.461613,1137.949702,1166.950855
LOC100255602,223.5786834,345.5798881,793.7159605,1038.852823
LOC100260673,151.833285,264.678238,296.7532255,372.4468782
LOC100253767,3909.289964,4209.882163,2859.909752,2447.931172
LOC100248670,38.37544565,34.95750313,3.956709673,0.74045105
LOC100250416,4920.399532,5158.728676,2741.208462,2463.480644
LOC100267594,43.38093856,12.98421545,38.7757548,55.53382876
LOC100262441,1116.224919,1454.23213,1304.92285,1648.984489
LOC100255567,1429.902475,1429.262485,635.4475736,487.957242
LOC100250386,2662.922229,2439.034933,3068.032681,3264.64868
LOC100257326,770.8459083,648.2119866,934.5748249,824.8624699
LOC100267562,497.2122958,654.2047014,745.4441025,622.7193332
LOC100252196,31.7014551,55.93200501,150.3549676,165.8610352
LOC100247073,834.2488185,648.2119866,310.9973803,421.3166475
LOC100262404,19169.36935,16694.70471,9064.03052,9584.398393
LOC100252166,660.7250643,725.1184935,800.046696,644.1924136
LOC100247039,201.8882141,123.8494397,101.2917676,71.08330081
LOC100264193,31.7014551,13.98300125,40.35843867,25.91578676
LOC100259014,260.2856314,223.72802,389.3402319,369.485074
LOC100253874,56.72891966,114.8603674,115.5359225,179.9296052
LOC104879806,40.04394329,52.9356476,77.5515096,105.1440491
LOC100243415,452.1628596,511.3783315,688.4674832,763.4050327
LOC100241721,5.005492911,0.998785804,25.32294191,26.65623781
