"","CO_A","CO_B","A1_A","A1_B"
"LOC100243354",1471.58791046563,1530.89177017224,1082.06140538181,969.770790765781
"LOC100265676",713.918999806976,676.532962678325,400.432273984269,698.234969351362
"LOC100243036",1829.54172652484,1756.40275773169,685.60364528324,853.398295873887
"LOC100260128",7.95452924576018,17.8819285289425,15.8980555427998,84.5441202206066
"LOC100266159",1762.9225440916,1900.45162643706,1193.34779418141,1052.32563756943
"LOC104878146",430.53889542677,311.940308782664,470.979895455443,471.457799818441
"LOC109122028",25.8522200487206,5.96064284298083,4.96814235712493,17.903460752599
"LOC100254484",10.9374777129202,15.8950475812822,41.7323957998494,27.8498278373763
"LOC104878147",654.260030463775,761.968843427716,580.279027312191,289.439282167018
"LOC100242494",563.777260293253,717.26402210536,709.450728597439,438.634788438676
"LOC100852702",121.306570997843,85.4358807493919,99.3628471424985,69.6245695934407
"LOC100852731",122.300887153563,96.3637259615235,114.267274213873,115.377858183416
"LOC100252735",231.675664282765,255.314201774346,222.572777599197,203.900525237933
"LOC100259703",598.578325743453,566.261070083179,1013.50104085348,904.124768006251
"LOC104878150",79.5452924576018,75.5014760110905,254.368888684796,154.168689814047
"LOC100852467",35.7953816059208,23.8425713719233,128.178072813823,101.452944264728
"LOC100246272",199.857547299724,278.163332672439,25.8343402570496,53.7103822577971
"LOC100853798",1143.46357907803,813.627748066884,5855.45258210744,5115.41659170094
"LOC100264362",144.175842579403,120.206297333447,58.6240798140741,63.6567493425744
"LOC100254004",28.8351685158806,13.9081666336219,58.6240798140741,158.147236647958
"LOC100247172",889.91295936942,1140.469663957,623.998680054891,570.921470666214
"LOC100245497",609.515803456374,722.231224474511,683.61638834039,673.369051639419
"LOC100247272",90.482770170522,82.4555593279015,302.063055313195,205.889798654889
"LOC100242136",77.5566601461617,55.6326665344878,9.93628471424985,29.8391012543317
"LOC100242032",220.738186569845,191.734011449217,521.654947498117,372.988765679147
"LOC100250510",174.005327251004,175.838963867935,348.76359347017,396.860046682612
"LOC104878068",19.8863231144004,15.8950475812822,8.94265624282487,13.9249139186881
"LOC100853347",46.732859318841,54.6392260606576,38.7515103855744,39.785468339109
"LOC100853615",34.8010654502008,6.95408331681097,12.9171701285248,37.7961949221535
"LOC100853655",15.9090584915204,26.8228927934137,22.8534548427747,27.8498278373763
"LOC100853690",13.9204261800803,6.95408331681097,9.93628471424985,11.9356405017327
"LOC104878250",25.8522200487206,37.7507380055453,19.8725694284997,25.8605544204208
"LOC104878331",114.346357907803,118.219416385787,121.222673513848,125.324225268193
"LOC100853774",195.880282676844,133.121023493239,121.222673513848,82.5548468036511
"LOC100246274",80.5396086133218,86.4293212232221,25.8343402570496,36.8015582136758
"LOC104877339",27.8408523601606,16.8884880551124,24.8407117856246,5.96782025086635
"LOC100853235",56.6760208760413,48.6785832176768,47.6941666283993,30.8337379628095
"LOC100257760",313.209589051807,294.058380253721,179.846753327922,240.702083451609
"LOC100264855",44.744227007401,45.6982617961864,58.6240798140741,58.6835658001857
"LOC100257658",3349.85112862075,3788.98196718815,3131.91694193155,2696.46011668311
"LOC100852990",4641.46781490106,5733.14497447373,6084.98075900661,3962.63264657525
"LOC100248935",1038.0660665717,1385.84946099304,995.615728367835,770.843449070236
"LOC100262571",223.721135037005,197.694654292198,554.444687055142,508.259358032117
"LOC100854196",20.8806392701205,9.93440473830139,193.757551927872,131.29204551906
