"","Row.names","CO_A","CO_B","A1_A","A1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4043","LOC100264703",3953.40103514281,4086.02066886336,2026.00845323554,1342.75955644493,2852.04742842166,1.25486886222655,0.287701756427045,4.3617003865764,1.29055520553908e-05,8.67972607393241e-05
"4044","LOC100264706",4036.92359222329,4522.14103687479,1546.08590153728,2316.50889404462,3105.41485616999,1.14788524428544,0.288427079570739,3.97981093173991,6.89700988230827e-05,0.00038837178636269
"4045","LOC100264710",262.499465110086,156.963594865162,408.381301755669,614.685485839234,360.632461892538,-1.28628965167885,0.399327593960163,-3.22113891234666,0.00127682244522606,0.00501680423715659
"4046","LOC100264712",1209.08844535555,1614.34076997398,3594.9478096156,2420.94574843478,2209.83069334497,-1.09132956652619,0.307248887105148,-3.55193985178768,0.000382402263526489,0.00175456179602577
"4047","LOC100264717",115.340674063523,110.271892595145,334.85279487022,286.455372041585,211.730183392618,-1.46146553932048,0.371289021687361,-3.93619378423499,8.27841339713388e-05,0.000455719427456851
"4048","LOC100264732",2.98294846716007,0.993440473830139,75.5157638282989,170.082877149691,62.393757479745,-5.94890521841574,0.985874223426276,-6.03414216241612,1.59809332324001e-09,2.17207158556273e-08
"4049","LOC100264734",96.4486671048422,111.265333068976,259.337031041921,291.428555583973,189.619896699928,-1.40683106959931,0.384904936756642,-3.65500916006381,0.000257172795540751,0.00124392692711198
"4050","LOC100264745",186.931437275364,150.009511548351,322.92925321312,392.881499848701,263.187925471384,-1.08708493154995,0.360110762485424,-3.01875157534053,0.00253818567862945,0.00911108829648621
"4051","LOC100264746",1413.91757343387,1306.37422308663,430.241128127019,821.5699212026,993.025711462531,1.11975069475579,0.355084685893545,3.15347504198336,0.00161339023822134,0.00615045947929021
"4052","LOC100264761",5641.74986755541,6481.20565126783,3115.02525791733,2876.48936091758,4528.61753441453,1.01674899380138,0.240129322967987,4.23417257515412,2.29394739865294e-05,0.000144454945459975
"4053","LOC100264773",149.147423358003,168.884880551124,1104.91486022458,1792.33534867686,803.820628202642,-3.18743160931598,0.339240876961541,-9.39577694134227,5.67970768155752e-21,2.38169862654917e-19
"4054","LOC100264776",92.4714024819621,59.6064284298083,211.642864413522,194.948794861634,139.667372546732,-1.41878885582661,0.451807980424707,-3.14024744426366,0.00168805187310403,0.0064120539134667
"4055","LOC100264785",213.777973479805,271.209249355628,610.087881454941,562.964376998392,414.509870322191,-1.27424294743876,0.319221695182147,-3.99171787716898,6.55963828563266e-05,0.000372145462688511
"4056","LOC100264786",9767.16759763778,10125.1453092768,3433.97999724475,4428.12262614283,6938.60388257553,1.33922502696628,0.251852975564422,5.31748741091892,1.05209961344226e-07,1.06530367485594e-06
"4057","LOC100264789",2437.06889766977,1571.62282959928,6013.43950906401,4819.01485257457,3710.28652222691,-1.43415796772762,0.302029809092451,-4.74839874923945,2.05033489301692e-06,1.63588824336041e-05
"4058","LOC100264816",58.6646531874813,67.5539522204494,186.802152627897,146.211596146225,114.808088545513,-1.39965498808221,0.464978135624878,-3.01015226490431,0.00261116752075182,0.009338825581522
"4059","LOC100264818",834.231254649099,719.25090305302,1295.69152673818,2147.42065360341,1249.14858451093,-1.14820593375931,0.324977763429399,-3.53318307579762,0.000410588039042733,0.00186605695076429
"4060","LOC100264822",2835.7896761135,3611.15612237255,13958.4927665782,8965.65529021821,7342.77346382061,-1.83017936137787,0.30137883663591,-6.07268705993738,1.25787437891455e-09,1.72947009016404e-08
"4061","LOC100264824",14.9147423358003,22.8491308980932,80.4839061854238,66.6406594680075,46.2221097218312,-1.96193316165643,0.686500597547915,-2.85787538811208,0.00426487840539129,0.0141719180138699
"4062","LOC100264828",148.153107202283,196.701213818367,9482.19650280863,3343.96861390211,3292.75485943285,-5.21695202704412,0.43755424150878,-11.922983557547,8.98328384596199e-33,8.23603796241152e-31
"4063","LOC100264830",2203.40460107557,2078.27747125265,978.72404435361,1051.33100086095,1577.9342793857,1.07665963696124,0.248195464921361,4.33795048310965,1.43817544995664e-05,9.52330887249689e-05
"4064","LOC100264837",0.994316155720022,0,23.8470833141996,29.8391012543317,13.6701251810628,-5.75522149195984,1.85367843017142,-3.10475722125527,0.00190435264662227,0.00712895190838366
"4065","LOC100264840",10162.9054276143,12393.169911031,2595.35756736206,2791.94524069697,6985.84453667609,2.06588175644083,0.244943803762431,8.43410498533984,3.33747015753584e-17,1.05347062719089e-15
"4066","LOC100264846",4103.54277465653,3507.83831309422,7161.08039355987,8564.81669670168,5834.31954450308,-1.04691184703416,0.249720455310811,-4.19233516826298,2.7609767808738e-05,0.000170720115481988
"4067","LOC100264847",162.073533382364,73.5145950634303,191.770294985022,670.385141513986,274.435891236201,-1.87168509779618,0.592137755519327,-3.1608947079462,0.00157285343159494,0.00601867837512237
"4068","LOC100264849",732.811006765656,320.881273047135,1115.84477341026,1759.51233729709,982.262347630036,-1.44829053149877,0.41928837681003,-3.45416331956885,0.000552002977312859,0.00241726010690412
"4069","LOC100264852",1974.71188525996,1825.9435908998,725.348784140239,1018.50798948119,1386.1280624453,1.12397020563083,0.286163019734318,3.92772695323931,8.57524869362987e-05,0.000468987977631547
"4070","LOC100264878",910.79359863954,1092.78452121315,2772.22343527571,2339.38553833961,1778.796773367,-1.35119726397614,0.264647385508258,-5.10565128531745,3.29657124057237e-07,3.04868601202864e-06
"4071","LOC100264879",0.994316155720022,1.98688094766028,189.783038042172,106.426127807117,74.7975907381672,-6.63441096710498,1.02216214199744,-6.49056611912908,8.55144253911628e-11,1.37765651768351e-09
"4072","LOC100264905",4481.38291383014,3424.38931329249,1397.04163082353,2351.32117884134,2913.53375919687,1.07664777442802,0.324511107769889,3.31775322523466,0.000907446186247218,0.00373992431070829
"4073","LOC100264907",41.7612785402409,49.6720236915069,105.324617971048,236.723536617698,108.370364205124,-1.90338732456504,0.563085010260165,-3.38028413096206,0.000724109313006734,0.00305805796552467
"4074","LOC100264914",162.073533382364,99.3440473830139,778.011093125763,941.920962928405,495.337409204886,-2.71793926319804,0.355977534145029,-7.63514267754526,2.25570480224753e-14,5.32758382451202e-13
"4075","LOC100264915",10.9374777129202,25.8294523195836,1437.78039815195,789.741546531313,566.072218678943,-5.92078396761663,0.474445688205223,-12.4793714324063,9.67473747888662e-36,1.07219480741287e-33
"4076","LOC100264925",83.5225570804819,71.52771411577,215.617378299222,260.594817621164,157.815616779159,-1.61887114837706,0.415470100628669,-3.89648050708694,9.76006590008671e-05,0.000527210844147694
"4077","LOC100264930",422.584366181009,245.379797036044,1360.2773773808,1631.20420190347,914.861435625332,-2.16302472662564,0.340739201784681,-6.34803602079369,2.18081028229378e-10,3.29559480673305e-09
"4078","LOC100264936",48.7214916302811,32.7835356363946,195.744808870722,116.372494891894,98.4055827573229,-1.93715460349016,0.545358118267515,-3.55207805403921,0.000382201465745307,0.0017540394912589
"4079","LOC100264937",0,1.98688094766028,7.94902777139988,38.7908316306312,12.1816850874229,-4.55570565101976,1.73260196618515,-2.62940117807353,0.00855353881122824,0.0254011893142629
"4080","LOC100264942",97.4429832605622,98.3506069091837,863.463141668312,1039.39536035922,524.66302304932,-3.28075984061545,0.312607933121192,-10.4948067307798,9.12642910815636e-26,5.38245833659397e-24
"4081","LOC100264955",515.055768662972,518.575927339332,1443.7421689805,1022.4865363151,874.965100324477,-1.2545860886153,0.299272558435748,-4.19211869999988,2.76361324712153e-05,0.000170830766762002
"4082","LOC100264962",671.163405111015,664.611676992363,2593.37031041921,1179.63913625458,1277.19613219429,-1.49803975599493,0.380938891565216,-3.93249360767478,8.40692160165733e-05,0.000461659702437866
"4083","LOC100264970",3180.81738214835,3052.84257608002,956.864217982261,1140.84830462395,2082.84312020864,1.57126453599047,0.252044952758516,6.2340646729629,4.54485305984912e-10,6.60920592769696e-09
"4084","LOC100264972",11.9317938686403,14.9016071074521,171.897725556522,174.061423983602,93.1981376290541,-3.68846899073248,0.554632300154728,-6.65029604244739,2.9250407723768e-11,5.00832532927335e-10
"4085","LOC100264973",91.477086326242,53.6457855868275,1358.29012043795,1909.70248027723,853.278868157064,-4.49308809477414,0.361446996778487,-12.4308353225237,1.7776699212114e-35,1.92772055434591e-33
"4086","LOC100264974",120.312254842123,95.3702854876933,24.8407117856246,24.8659177119431,66.3472924568459,2.11739483607156,0.581949086618604,3.63845374923537,0.000274279872023574,0.0013153174081587
"4087","LOC100264980",10791.3132380294,11687.8271746116,4454.43643739821,5587.86902822785,8130.36146956676,1.16249728857454,0.24838697746741,4.68018613708146,2.86614578574222e-06,2.21749752583124e-05
"4088","LOC100264983",2.98294846716007,0,150.037899185173,178.039970817513,82.7652046174614,-6.78166892669576,0.997893845575067,-6.79598231492009,1.07576975239847e-11,1.90824617251013e-10
"4089","LOC100264994",715.907632118416,1017.28304520206,3677.41897274387,1456.14814121139,1716.68944781893,-1.56652995870002,0.419943717884255,-3.73033311842942,0.000191226770211907,0.000957320415779142
"4090","LOC100264995",7.95452924576018,5.96064284298083,109.299131856748,126.318861976671,62.3832914805401,-4.0817573564381,0.688012614853549,-5.93267807641427,2.98032858282087e-09,3.8857936338395e-08
"4091","LOC100265004",2.98294846716007,1.98688094766028,56.6368228712242,75.592389844307,34.2997605325879,-4.73376577372868,0.987521290342461,-4.79358351057633,1.63828215512361e-06,1.32920961660673e-05
"4092","LOC100265006",530.964827154492,592.090522402763,132.152586699523,267.557274580508,380.691302709321,1.49042049587211,0.404804072521207,3.68183177256458,0.000231564195285621,0.00113365286866771
"4093","LOC100265008",881.95843012366,589.110200981272,2293.29451204887,3153.99300258286,1729.58903643417,-1.88867534790152,0.315961094378648,-5.97755667233553,2.26509140497236e-09,3.01166075400742e-08
"4094","LOC100265010",49.7158077860011,42.717940374696,177.859496385072,183.013154359901,113.326599726418,-1.96500575183447,0.463578576435156,-4.23877601709951,2.24741745203046e-05,0.0001418348248043
"4095","LOC100265013",855.111893919219,1019.26992614972,3825.46961498619,2145.43138018645,1961.3207038104,-1.67153314857802,0.33399354730973,-5.00468695291265,5.59528854758184e-07,4.96314493096822e-06
"4096","LOC100265021",362.925396837808,796.739260011771,136.127100585223,193.954158153156,372.43647889699,1.81282732294773,0.443623471155444,4.08640985163862,4.38099596672804e-05,0.000258906207585422
"4097","LOC100265027",210.795025012645,196.701213818367,1133.73008589591,1029.44899327444,642.668829500341,-2.40829733441991,0.285959808686037,-8.42180355863942,3.70732306704041e-17,1.1629347785724e-15
"4098","LOC100265052",1233.94634924855,1352.07248488282,6157.51563742063,4432.10117297674,3293.90891113219,-2.03384510541532,0.273380273613419,-7.43961910101582,1.0097602621493e-13,2.26298494306128e-12
"4099","LOC100265056",100.425931727722,84.4424402755618,10.9299131856748,34.8122847967203,57.6526424964198,2.01496140526935,0.717650274843027,2.8077205233567,0.00498935060388784,0.0161871001576995
"4100","LOC100265066",31.8181169830407,9.93440473830139,1083.05503385323,1316.89900202451,610.426639399771,-5.84512935815972,0.44774439060985,-13.0546121419821,5.98138783846846e-39,7.96482287077592e-37
