ID,CO_A,CO_B,AF_A,AF_B
LOC109123926,95.10674558,57.5505432,94.70984211,34.09748617
LOC100246278,2245.894233,2459.710216,1603.812892,1433.757711
LOC100251417,569.4946091,646.8681055,657.6079603,865.7434903
LOC100265150,1363.578642,1445.669645,721.0456847,441.6040282
LOC100247996,2295.166402,2183.467609,1625.25663,1381.364013
LOC100253124,739.082541,817.2177134,466.4012979,479.8597444
LOC100853032,68.75186428,40.28538024,890.8086093,1047.873965
LOC100853068,945.3381338,471.9144542,2035.368116,2398.467076
LOC109123821,6.875186428,2.302021728,26.8046723,19.9595041
LOC104881611,166.1503387,132.3662493,713.0042831,975.5207628
LOC100256561,3381.445858,3970.98748,2726.928662,2905.771138
LOC100241301,2230.997996,1873.845686,4032.316202,4826.041762
LOC100246425,689.8103716,512.1998344,1157.068354,1541.040046
LOC100261655,1192.844845,1228.128592,1049.849665,1021.261293
LOC100251569,0.0,3.453032592,47.35492106,46.57217623
LOC100267021,685.226914,659.529225,647.7795805,635.3775471
LOC100261795,14.89623726,14.96314123,18.76327061,27.44431814
LOC100242952,96.25260999,71.36267356,593.2767468,849.9422162
LOC104881612,38.95938976,14.96314123,70.58563704,159.6760328
LOC100251476,89.37742356,132.3662493,18.76327061,12.47469006
LOC100256612,257.819491,204.8799338,163.508501,244.5039252
LOC100244706,5222.849956,5036.82354,3772.310881,3483.765111
LOC100261704,217.7142369,140.4233254,180.4847935,203.753271
LOC100266894,25.2090169,12.6611195,82.20099504,74.84814037
LOC100254983,73.3353219,111.6480538,53.60934459,58.21522029
LOC100249724,3518.949587,4584.476271,1945.12572,1378.869075
LOC100260077,1503.374099,1536.599503,915.8263034,773.4307838
LOC100259956,77.91877952,123.1581624,82.20099504,83.16460041
LOC100265155,4672.835042,6869.232836,2821.638504,2919.90912
LOC100242865,834.1892866,803.405583,973.9030934,945.5815067
LOC100253129,189.0676268,111.6480538,784.4834092,1049.537257
LOC100258259,365.5307451,338.397194,800.5662126,652.0104672
LOC100248114,2209.226572,2316.984869,982.8379842,1087.792973
LOC109123950,45.83457619,55.24852147,65.22470259,86.49118443
LOC100253237,676.0599987,595.0726166,2430.290288,2481.631676
LOC100265244,108.8571184,134.6682711,193.8871296,320.1837116
LOC104881617,2251.623555,2528.770868,1287.517759,904.8308525
LOC100258344,44.68871178,35.68133678,90.24239673,90.64941445
LOC100263487,1497.644777,1718.45922,769.2940949,765.9459698
LOC100258371,2220.685216,1819.748176,1655.635259,2015.078268
LOC100251481,1909.010098,2014.269012,1698.522734,1390.512119
LOC100263512,435.4284738,721.6838117,392.2417046,367.5875338
LOC100261709,2127.870199,1747.234491,1886.155441,1550.188152
LOC100266898,865.1276255,707.8716813,629.0163099,579.6572649
LOC100244582,100.8360676,74.81570615,692.4540343,953.0663207
LOC100249730,836.4810154,909.2985825,675.4777418,674.4649093
LOC100241245,43.54284738,59.85256492,11.61535799,8.316460041
LOC100246373,1144.71854,906.9965608,998.0272985,994.6486209
LOC100251514,2467.046063,3348.290603,1907.599178,1358.909571
LOC100256641,1797.861251,1306.397331,1937.084318,2524.877269
LOC100246438,3980.732942,4482.036304,1656.528748,1314.832333
LOC100251581,154.6916946,72.51368443,344.8867835,372.5774098
LOC100261745,1747.443217,2215.695913,1346.488038,1600.086912
LOC100256705,10541.95252,11042.79823,7753.698206,6165.823475
LOC100266932,12691.59415,12773.91857,15634.27186,16428.33517
LOC104881628,8.021050832,11.51010864,12.50884707,8.316460041
LOC104881621,5.729322023,2.302021728,170.6564136,286.0862254
LOC100242960,772.3126087,566.297345,696.9214797,962.2144268
LOC100244614,1070.237354,1401.931232,969.435648,814.181438
LOC100249761,520.2224397,471.9144542,637.0577116,675.2965553
LOC100254890,214.2766437,302.7158572,304.6797751,347.6280297
VFUL-L,128.3368133,140.4233254,220.6918019,230.3659431
MADS2,67.60599987,37.98335851,67.90516981,56.55192828
MIR3632,183.3383047,210.6349881,125.9819598,114.7671486
LOC100242902,2869.244469,2795.805388,1818.250271,1973.495968
LOC100248032,42.39698297,9.208086911,135.8103396,182.9621209
BR6OX1,1221.491455,1058.929995,1065.038979,1031.241045
LOC100246342,43.54284738,44.88942369,100.9642656,103.9557505
LOC100258293,370.1142027,679.0964097,861.3234698,419.1495861
LOC100244586,42.39698297,28.7752716,33.95258491,55.72028228
LOC100263436,559.1818295,354.5113461,1141.87904,1493.636223
LOC100254860,1559.521455,1460.632786,1127.583215,1352.256403
LOC100259964,25.2090169,33.37931505,16.97629245,23.28608812
LOC100241163,2941.433927,2587.472422,2375.787454,1677.42999
LOC100253138,723.0404393,725.1368443,2994.081895,2899.949616
LOC104881623,16.04210166,24.17122814,41.10049752,39.9190082
LOC104881631,482.4089144,306.1688898,1281.263336,1553.514736
LOC100241313,681.7893208,455.8003021,3124.531301,3386.462529
LOC100246444,36.66766095,24.17122814,4341.463423,4836.85316
LOC104877306,4499.809517,2790.050334,10662.89864,11894.20115
LOC100244676,73.3353219,69.06065183,438.7031366,393.3685599
LOC100249810,673.7682699,448.8942369,1393.842959,1634.184398
LOC100853107,2.291728809,2.302021728,21.44373784,24.94938012
LOC100253215,20.62555928,29.92628246,17.86978153,12.47469006
LOC109123910,8.021050832,3.453032592,53.60934459,47.40382223
LOC100853183,11.45864405,1.151010864,16.08280338,12.47469006
LOC100263492,186.775898,163.4435427,884.5541857,893.1878084
LOC100241219,208.5473216,148.4804014,1362.570842,1505.279267
LOC100854073,60.73081345,28.7752716,53.60934459,38.25571619
LOC100259965,30.93833893,12.6611195,29.48513952,12.47469006
LOC100251424,9761.618863,11342.06105,6062.323384,5339.167346
LOC100256565,426.2615585,399.4007698,814.8620378,988.8270989
LOC100265165,2829.139215,3106.578322,2427.609821,1941.89342
LOC100261660,1639.731963,1254.601842,1593.984512,1586.780576
LOC100266848,2852.056503,2023.477099,3408.660827,4435.16814
LOC100244709,5.729322023,2.302021728,352.9281852,575.4990349
LOC100249838,2.291728809,2.302021728,14.29582522,22.45444211
LOC100254985,821.5847781,865.5601697,1237.482371,1263.27028
LOC100253142,3106.438401,3579.643787,2893.11763,2711.165973
LOC100258271,261.2570843,258.9774444,595.063725,766.7776158
LOC100263410,239.4856606,242.8632923,260.0053213,264.4634293
LOC100246447,1041.590744,1032.456745,922.974216,830.8143581
LOC100266999,813.5637273,915.0536368,836.3057756,943.0865687
LOC100244680,89.37742356,78.26873875,100.9642656,97.30258248
LOC100260081,1695.879319,1651.70059,1215.145144,1195.075308
